User ID*,Session ID*,Completion Date/Time,Due Date/Time‡,Comments,Request Date/Time,Registration Date/Time,Score,Pass/Fail,Transcript Status,User Exempt Reason,Approver Exempt Reason,User's Exemption Comments,Approver's Exemption Comments,Exempt By,Archived
1089,Computer_GDP (eTime dept tracking) Class,,,,2018-12-13 16:22:09,2018-12-13 16:22:09,0,Pass,Completed,,,,,,0
1094,Leadership_Emotional Intelligence Training-0002,,,,2019-09-16 14:10:53,2019-09-16 14:10:53,0,Pass,Completed,,,,,,0
1120,Computer & Software_Microsoft Outlook Class,,,,2015-03-12 08:00:00,2015-03-12 08:00:00,0,Pass,Completed,,,,,,0
1129,Computer_FileHold Class,,,,2017-03-05 08:00:00,2017-03-05 08:00:00,0,Pass,Completed,,,,,,0
1156,Core_ Core Operator Training (AGGU) Class,,,,2015-09-10 08:00:00,2015-09-10 08:00:00,0,Pass,Completed,,,,,,0
1166,Computer_GDP (eTime dept tracking) Class,,,,2018-12-13 14:48:56,2018-12-13 14:48:56,0,Pass,Completed,,,,,,0
1214,Computer_GDP (eTime dept tracking) Class,,,,2018-12-13 15:11:16,2018-12-13 15:11:16,0,Pass,Completed,,,,,,0
1214,Leadership_Emotional Intelligence Training-0002,,,,2019-12-09 22:20:35,2019-12-09 22:20:35,0,Pass,Completed,,,,,,0
1246,Computer Skills_Excel Basic Class,,,,2017-04-24 08:00:00,2017-04-24 08:00:00,0,Pass,Completed,,,,,,0
1246,Core_ Core Operator Training (AGGU) Class,,,,2015-08-27 08:00:00,2015-08-27 08:00:00,0,Pass,Completed,,,,,,0
1321,Computer Skills_Excel Intermediate Class,,,,2017-10-04 08:00:00,2017-10-04 08:00:00,0,Pass,Completed,,,,,,0
1321,Computer_GDP (eTime dept tracking) Class,,,,2018-12-13 15:23:27,2018-12-13 15:23:27,0,Pass,Completed,,,,,,0
1321,Leadership_Emotional Intelligence Training-0001,,,,2019-09-13 21:54:31,2019-09-13 21:54:31,0,Pass,Completed,,,,,,0
1322,Computer Skills_Excel Basic Class,,,,2017-07-24 08:00:00,2017-07-24 08:00:00,0,Pass,Completed,,,,,,0
1322,Core_ Core Operator Training (AGGU) Class,,,,2015-08-27 08:00:00,2015-08-27 08:00:00,0,Pass,Completed,,,,,,0
1378,Computer Skills_Excel Basic Class,,,,2017-04-30 08:00:00,2017-04-30 08:00:00,0,Pass,Completed,,,,,,0
1397,Core_ Core Operator Training (AGGU) Class,,,,2015-08-27 08:00:00,2015-08-27 08:00:00,0,Pass,Completed,,,,,,0
1437,Leadership_Emotional Intelligence Training-0001,,,,2019-09-17 19:24:09,2019-09-17 19:24:09,0,Pass,Completed,,,,,,0
1467,Computer & Software_Excel Intermediate-0003,,,,2018-11-16 20:24:56,2018-11-16 20:24:56,0,Pass,Completed,,,,,,0
1467,Computer_FileHold Class,,,,2017-03-05 08:00:00,2017-03-05 08:00:00,0,Pass,Completed,,,,,,0
