User ID*,Material ID*,Transcript Status*,Request Date/Time*,Registration Date/Time*,Transcript Action,Completion Date/Time,Due Date/Time‡,Due Date Action type,Archived,User Exempt Reason,Approver Exempt Reason,User's Exemption Comments,Approver's Exemption Comments,Exempt By,Comments,Training Points,Training Badge
000578,Leadership_SCP Guidelines,Exempt,04/14/2023 20:56:25.000,04/14/2023 20:56:25.000,,02/06/2020 21:55:00.000,,,,,,,,,,,
001002,Compliance_Business Conduct Agreement,Completed,07/02/2018 20:34:30.000,07/02/2018 20:34:30.000,,07/02/2018 20:35:00.000,07/16/2018 23:59:59.000,,,,,,,,,,
001002,Compliance_Employee FMLA Rights,Completed,02/13/2017 08:00:00.000,02/13/2017 08:00:00.000,,02/13/2017 00:00:00.000,,,,,,,,,,,
001002,Compliance_Orientation eSign,Completed,08/22/2016 08:00:00.000,08/22/2016 08:00:00.000,,08/22/2016 00:00:00.000,,,,,,,,,,,
001002,Compliance_Orientation Policies & Procedures,Completed,08/22/2016 08:00:00.000,08/22/2016 08:00:00.000,,08/22/2016 00:00:00.000,,,,,,,,,,,
001002,Resource_View Forklift Evaluation Form,Completed,02/29/2016 08:00:00.000,02/29/2016 08:00:00.000,,02/29/2016 00:00:00.000,,,,,,,,,,,
001002,Resource_View Forklift Instructor List,Completed,02/29/2016 08:00:00.000,02/29/2016 08:00:00.000,,02/29/2016 00:00:00.000,,,,,,,,,,,
001010,Compliance_ Bribery Guidelines,Completed,08/30/2021 13:38:01.000,08/30/2021 13:38:01.000,,08/30/2021 13:39:14.000,02/11/2023 23:59:59.000,,,,,,,,This is done by admin due to some Technical Issues or Glitches,,
001010,Compliance_Business Conduct Agreement,Completed,07/02/2018 20:23:02.000,07/02/2018 20:23:02.000,,07/02/2018 20:20:00.000,07/16/2018 23:59:59.000,,,,,,,,,,
001010,Compliance_Employee FMLA Rights,Completed,02/13/2017 08:00:00.000,02/13/2017 08:00:00.000,,02/13/2017 00:00:00.000,,,,,,,,,,,
001010,Compliance_Orientation eSign,Completed,08/22/2016 08:00:00.000,08/22/2016 08:00:00.000,,08/22/2016 00:00:00.000,,,,,,,,,,,
001010,Compliance_Orientation Policies & Procedures,Completed,08/22/2016 08:00:00.000,08/22/2016 08:00:00.000,,08/22/2016 00:00:00.000,,,,,,,,,,,
